Date,Open,High,Low,Close,Adj Close,Volume
2018-05-16,0.346798,0.347675,0.323518,0.334677,0.334677,43623300
2018-05-17,0.335431,0.350488,0.310994,0.313497,0.313497,31796700
2018-05-18,0.313269,0.319522,0.306723,0.319488,0.319488,31108600
2018-05-19,0.319639,0.329105,0.312646,0.317234,0.317234,23504200
2018-05-20,0.317749,0.334381,0.315875,0.332810,0.332810,30586700
2018-05-21,0.332960,0.333420,0.315671,0.318115,0.318115,27528600
2018-05-22,0.318612,0.321454,0.301084,0.301084,0.301084,31944800
2018-05-23,0.300583,0.301912,0.272845,0.280355,0.280355,39564300
2018-05-24,0.279751,0.296440,0.276007,0.291338,0.291338,45262500
2018-05-25,0.292986,0.298521,0.283877,0.288069,0.288069,45218800
2018-05-26,0.288601,0.294880,0.283048,0.284695,0.284695,40772900
2018-05-27,0.284194,0.284375,0.274538,0.276376,0.276376,45604600
2018-05-28,0.276329,0.278940,0.252205,0.253582,0.253582,48667900
2018-05-29,0.253952,0.283321,0.249187,0.282845,0.282845,62185300
2018-05-30,0.283893,0.295864,0.271554,0.277747,0.277747,59599500
2018-05-31,0.278473,0.302591,0.273827,0.296652,0.296652,78378600
2018-06-01,0.296535,0.299187,0.283216,0.290022,0.290022,62207300
2018-06-02,0.290961,0.303062,0.289850,0.298413,0.298413,58244800
2018-06-03,0.298581,0.309325,0.298349,0.302912,0.302912,64563800
2018-06-04,0.304636,0.309088,0.288416,0.292158,0.292158,56371200
2018-06-05,0.292134,0.297980,0.282434,0.294313,0.294313,48728900
2018-06-06,0.293325,0.299955,0.289500,0.298269,0.298269,51165000
2018-06-07,0.297974,0.305812,0.291841,0.294206,0.294206,49336800
2018-06-08,0.293776,0.296246,0.285597,0.287963,0.287963,47014400
2018-06-09,0.287071,0.293240,0.281894,0.281894,0.281894,44872900
2018-06-10,0.282765,0.282765,0.242728,0.247658,0.247658,54768500
2018-06-11,0.247103,0.256482,0.241464,0.256482,0.256482,47904600
2018-06-12,0.255286,0.255565,0.228748,0.231689,0.231689,47126900
2018-06-13,0.232297,0.233920,0.212596,0.221691,0.221691,48479300
2018-06-14,0.221890,0.243708,0.219758,0.242426,0.242426,53521800
2018-06-15,0.241695,0.242083,0.232559,0.234242,0.234242,37531000
2018-06-16,0.232527,0.235072,0.227153,0.234041,0.234041,34627700
2018-06-17,0.233146,0.235942,0.230298,0.232105,0.232105,31223300
2018-06-18,0.231517,0.240065,0.225079,0.234371,0.234371,36372000
2018-06-19,0.233515,0.239484,0.232644,0.235309,0.235309,34048000
2018-06-20,0.236379,0.238170,0.227794,0.232188,0.232188,43000600
2018-06-21,0.232437,0.236066,0.226508,0.227997,0.227997,38175500
2018-06-22,0.227657,0.228462,0.198004,0.203407,0.203407,41435400
2018-06-23,0.203670,0.206931,0.197436,0.203515,0.203515,33872100
2018-06-24,0.203188,0.203222,0.178151,0.193633,0.193633,43348500
2018-06-25,0.193652,0.200452,0.188813,0.197753,0.197753,38729400
2018-06-26,0.196489,0.197847,0.184877,0.186484,0.186484,31190300
2018-06-27,0.184523,0.193435,0.183107,0.189633,0.189633,34514300
2018-06-28,0.188750,0.192287,0.177071,0.178951,0.178951,32294900
2018-06-29,0.179309,0.187823,0.173148,0.186710,0.186710,39542800
2018-06-30,0.186915,0.199292,0.186915,0.193425,0.193425,47083800
2018-07-01,0.192850,0.201310,0.190414,0.198573,0.198573,41380400
2018-07-02,0.200196,0.213820,0.192646,0.213151,0.213151,49362900
2018-07-03,0.211672,0.218992,0.204606,0.206315,0.206315,49012200
2018-07-04,0.205776,0.216548,0.203362,0.209735,0.209735,33301500
2018-07-05,0.210213,0.214188,0.199528,0.202978,0.202978,37009800
2018-07-06,0.203001,0.209693,0.198991,0.206381,0.206381,37627900
2018-07-07,0.206104,0.209379,0.200413,0.208450,0.208450,36238600
